＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161030018,FUT_225_260312,,202603,,55200,55028,55025.37,,0.7191,2,日経225
161060018,FUT_225_260611,,202606,,55000,54850,55025.37,,1.2664,93,日経225
161090018,FUT_225_260910,,202609,,55080,54970,55025.37,,1.3609,184,日経225
161120018,FUT_225_261210,,202612,,54920,54836,55025.37,,1.3309,275,日経225
162030018,FUT_225_270311,,202703,,55060,54931,55025.37,,1.3309,366,日経225
162060018,FUT_225_270610,,202706,,54910,54764,55025.37,,1.3309,457,日経225
162120018,FUT_225_271209,,202712,,54960,54745,55025.37,,1.3309,639,日経225
163060018,FUT_225_280608,,202806,,54980,54678,55025.37,,1.3309,821,日経225
163120018,FUT_225_281207,,202812,,55120,54663,55025.37,,1.3309,1003,日経225
164060018,FUT_225_290607,,202906,,55190,54600,55025.37,,1.3309,1185,日経225
164120018,FUT_225_291213,,202912,,55390,54602,55025.37,,1.3309,1374,日経225
165060018,FUT_225_300613,,203006,,55510,54543,55025.37,,1.3309,1556,日経225
165120018,FUT_225_301212,,203012,,55750,54535,55025.37,,1.3309,1738,日経225
166060018,FUT_225_310612,,203106,,55920,54480,55025.37,,1.3309,1920,日経225
166120018,FUT_225_311211,,203112,,56200,54476,55025.37,,1.3309,2102,日経225
167060018,FUT_225_320610,,203206,,56370,54425,55025.37,,1.3309,2284,日経225
167120018,FUT_225_321209,,203212,,56650,54425,55025.37,,1.3309,2466,日経225
168060018,FUT_225_330609,,203306,,56860,54378,55025.37,,1.3309,2648,日経225
168120018,FUT_225_331208,,203312,,57170,54381,55025.37,,1.3309,2830,日経225
161030019,FUT_225M_260312,,202603,,55200,55028,55025.37,,0.7191,2,日経225
161040019,FUT_225M_260409,,202604,,54900,54717,55025.37,,0.9773,30,日経225
161050019,FUT_225M_260507,,202605,,54920,54758,55025.37,,0.9773,58,日経225
161060019,FUT_225M_260611,,202606,,55000,54850,55025.37,,1.2664,93,日経225
161070019,FUT_225M_260709,,202607,,55045,54873,55025.37,,1.3609,121,日経225
161090019,FUT_225M_260910,,202609,,55080,54970,55025.37,,1.3609,184,日経225
161120019,FUT_225M_261210,,202612,,54920,54836,55025.37,,1.3309,275,日経225
162030019,FUT_225M_270311,,202703,,55060,54931,55025.37,,1.3309,366,日経225
162060019,FUT_225M_270610,,202706,,54910,54764,55025.37,,1.3309,457,日経225
162120019,FUT_225M_271209,,202712,,54960,54745,55025.37,,1.3309,639,日経225
163060019,FUT_225M_280608,,202806,,54980,54678,55025.37,,1.3309,821,日経225
163120019,FUT_225M_281207,,202812,,55120,54663,55025.37,,1.3309,1003,日経225
164060019,FUT_225M_290607,,202906,,55190,54600,55025.37,,1.3309,1185,日経225
164120019,FUT_225M_291213,,202912,,55390,54602,55025.37,,1.3309,1374,日経225
165060019,FUT_225M_300613,,203006,,55510,54543,55025.37,,1.3309,1556,日経225
165120019,FUT_225M_301212,,203012,,55750,54535,55025.37,,1.3309,1738,日経225
161030023,FUT_225MC_260312,,202603,,55200,55028,55025.37,,0.7191,2,日経225
161040023,FUT_225MC_260409,,202604,,54900,54717,55025.37,,0.9773,30,日経225
161050023,FUT_225MC_260507,,202605,,54920,54758,55025.37,,0.9773,58,日経225
161060023,FUT_225MC_260611,,202606,,55000,54850,55025.37,,1.2664,93,日経225
161030005,FUT_TPX_260312,,202603,,3707,3699,3698.85,,0.7191,2,TOPIX
161060005,FUT_TPX_260611,,202606,,3682,3675.7,3698.85,,1.2664,93,TOPIX
161090005,FUT_TPX_260910,,202609,,3692,3684.2,3698.85,,1.3609,184,TOPIX
161120005,FUT_TPX_261210,,202612,,3673.5,3665.5,3698.85,,1.3309,275,TOPIX
162030005,FUT_TPX_270311,,202703,,3680,3672.2,3698.85,,1.3309,366,TOPIX
162060005,FUT_TPX_270610,,202706,,3658,3649.9,3698.85,,1.3309,457,TOPIX
162120005,FUT_TPX_271209,,202712,,3647.5,3639.5,3698.85,,1.3309,639,TOPIX
163060005,FUT_TPX_280608,,202806,,3632,3624.4,3698.85,,1.3309,821,TOPIX
163120005,FUT_TPX_281207,,202812,,3622,3614.4,3698.85,,1.3309,1003,TOPIX
164060005,FUT_TPX_290607,,202906,,3607.5,3599.7,3698.85,,1.3309,1185,TOPIX
164120005,FUT_TPX_291213,,202912,,3599,3591.1,3698.85,,1.3309,1374,TOPIX
165060005,FUT_TPX_300613,,203006,,3584.5,3576.9,3698.85,,1.3309,1556,TOPIX
165120005,FUT_TPX_301212,,203012,,3575.5,3567.7,3698.85,,1.3309,1738,TOPIX
161030006,FUT_TPXM_260312,,202603,,3707,3698.99,3698.85,,0.7191,2,TOPIX
161060006,FUT_TPXM_260611,,202606,,3682,3675.69,3698.85,,1.2664,93,TOPIX
161090006,FUT_TPXM_260910,,202609,,3692,3684.2,3698.85,,1.3609,184,TOPIX
161030022,FUT_400_260312,,202603,,33580,33497,33496.13,,0.7191,2,JPX日経400
161060022,FUT_400_260611,,202606,,33570,33306,33496.13,,1.2664,93,JPX日経400
161090022,FUT_400_260910,,202609,,33460,33378,33496.13,,1.3609,184,JPX日経400
161120022,FUT_400_261210,,202612,,33295,33213,33496.13,,1.3309,275,JPX日経400
162030022,FUT_400_270311,,202703,,33350,33269,33496.13,,1.3309,366,JPX日経400
161030012,FUT_JP150_260312,,202603,,1538.5,1538.4,1538.31,,0.7191,2,JPXプライム150指数
161060012,FUT_JP150_260611,,202606,,1528.5,1528.7,1538.31,,1.2664,93,JPXプライム150指数
161090012,FUT_JP150_260910,,202609,,1532,1532.2,1538.31,,1.3609,184,JPXプライム150指数
161120012,FUT_JP150_261210,,202612,,1524.5,1524.4,1538.31,,1.3309,275,JPXプライム150指数
162030012,FUT_JP150_270311,,202703,,1527,1527.2,1538.31,,1.3309,366,JPXプライム150指数
