＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161030018,FUT_225_260312,,202603,,54460,54252,54248.39,,0.7191,3,日経225
161060018,FUT_225_260611,,202606,,54250,54066,54248.39,,1.2582,94,日経225
161090018,FUT_225_260910,,202609,,54340,54184,54248.39,,1.3609,185,日経225
161120018,FUT_225_261210,,202612,,54170,54043,54248.39,,1.3309,276,日経225
162030018,FUT_225_270311,,202703,,54300,54134,54248.39,,1.3309,367,日経225
162060018,FUT_225_270610,,202706,,54150,53960,54248.39,,1.3309,458,日経225
162120018,FUT_225_271209,,202712,,54180,53930,54248.39,,1.3309,640,日経225
163060018,FUT_225_280608,,202806,,54190,53852,54248.39,,1.3309,822,日経225
163120018,FUT_225_281207,,202812,,54310,53826,54248.39,,1.3309,1004,日経225
164060018,FUT_225_290607,,202906,,54360,53752,54248.39,,1.3309,1186,日経225
164120018,FUT_225_291213,,202912,,54550,53744,54248.39,,1.3309,1375,日経225
165060018,FUT_225_300613,,203006,,54650,53674,54248.39,,1.3309,1557,日経225
165120018,FUT_225_301212,,203012,,54870,53655,54248.39,,1.3309,1739,日経225
166060018,FUT_225_310612,,203106,,55030,53590,54248.39,,1.3309,1921,日経225
166120018,FUT_225_311211,,203112,,55290,53575,54248.39,,1.3309,2103,日経225
167060018,FUT_225_320610,,203206,,55450,53514,54248.39,,1.3309,2285,日経225
167120018,FUT_225_321209,,203212,,55710,53503,54248.39,,1.3309,2467,日経225
168060018,FUT_225_330609,,203306,,55910,53445,54248.39,,1.3309,2649,日経225
168120018,FUT_225_331208,,203312,,56210,53438,54248.39,,1.3309,2831,日経225
161030019,FUT_225M_260312,,202603,,54460,54252,54248.39,,0.7191,3,日経225
161040019,FUT_225M_260409,,202604,,54150,53936,54248.39,,0.9718,31,日経225
161050019,FUT_225M_260507,,202605,,54200,53976,54248.39,,0.9718,59,日経225
161060019,FUT_225M_260611,,202606,,54250,54066,54248.39,,1.2582,94,日経225
161070019,FUT_225M_260709,,202607,,54295,54089,54248.39,,1.3609,122,日経225
161090019,FUT_225M_260910,,202609,,54340,54184,54248.39,,1.3609,185,日経225
161120019,FUT_225M_261210,,202612,,54170,54043,54248.39,,1.3309,276,日経225
162030019,FUT_225M_270311,,202703,,54300,54134,54248.39,,1.3309,367,日経225
162060019,FUT_225M_270610,,202706,,54150,53960,54248.39,,1.3309,458,日経225
162120019,FUT_225M_271209,,202712,,54180,53930,54248.39,,1.3309,640,日経225
163060019,FUT_225M_280608,,202806,,54190,53852,54248.39,,1.3309,822,日経225
163120019,FUT_225M_281207,,202812,,54310,53826,54248.39,,1.3309,1004,日経225
164060019,FUT_225M_290607,,202906,,54360,53752,54248.39,,1.3309,1186,日経225
164120019,FUT_225M_291213,,202912,,54550,53744,54248.39,,1.3309,1375,日経225
165060019,FUT_225M_300613,,203006,,54650,53674,54248.39,,1.3309,1557,日経225
165120019,FUT_225M_301212,,203012,,54870,53655,54248.39,,1.3309,1739,日経225
161030023,FUT_225MC_260312,,202603,,54460,54252,54248.39,,0.7191,3,日経225
161040023,FUT_225MC_260409,,202604,,54150,53936,54248.39,,0.9718,31,日経225
161050023,FUT_225MC_260507,,202605,,54200,53976,54248.39,,0.9718,59,日経225
161060023,FUT_225MC_260611,,202606,,54250,54066,54248.39,,1.2582,94,日経225
161030005,FUT_TPX_260312,,202603,,3674,3664.5,3664.28,,0.7191,3,TOPIX
161060005,FUT_TPX_260611,,202606,,3648.5,3640.5,3664.28,,1.2582,94,TOPIX
161090005,FUT_TPX_260910,,202609,,3658.5,3648.9,3664.28,,1.3609,185,TOPIX
161120005,FUT_TPX_261210,,202612,,3639,3629.6,3664.28,,1.3309,276,TOPIX
162030005,FUT_TPX_270311,,202703,,3645.5,3636.2,3664.28,,1.3309,367,TOPIX
162060005,FUT_TPX_270610,,202706,,3622.5,3613.2,3664.28,,1.3309,458,TOPIX
162120005,FUT_TPX_271209,,202712,,3611.5,3602.1,3664.28,,1.3309,640,TOPIX
163060005,FUT_TPX_280608,,202806,,3595.5,3586.2,3664.28,,1.3309,822,TOPIX
163120005,FUT_TPX_281207,,202812,,3584.5,3575.5,3664.28,,1.3309,1004,TOPIX
164060005,FUT_TPX_290607,,202906,,3569.5,3560.1,3664.28,,1.3309,1186,TOPIX
164120005,FUT_TPX_291213,,202912,,3560,3550.7,3664.28,,1.3309,1375,TOPIX
165060005,FUT_TPX_300613,,203006,,3545,3535.7,3664.28,,1.3309,1557,TOPIX
165120005,FUT_TPX_301212,,203012,,3535,3525.8,3664.28,,1.3309,1739,TOPIX
161030006,FUT_TPXM_260312,,202603,,3674,3664.49,3664.28,,0.7191,3,TOPIX
161060006,FUT_TPXM_260611,,202606,,3648.5,3640.54,3664.28,,1.2582,94,TOPIX
161090006,FUT_TPXM_260910,,202609,,3658.5,3648.93,3664.28,,1.3609,185,TOPIX
161030022,FUT_400_260312,,202603,,33390,33155,33153.02,,0.7191,3,JPX日経400
161060022,FUT_400_260611,,202606,,33035,32958,33153.02,,1.2582,94,JPX日経400
161090022,FUT_400_260910,,202609,,33265,33029,33153.02,,1.3609,185,JPX日経400
161120022,FUT_400_261210,,202612,,33090,32859,33153.02,,1.3309,276,JPX日経400
162030022,FUT_400_270311,,202703,,33145,32913,33153.02,,1.3309,367,JPX日経400
161030012,FUT_JP150_260312,,202603,,1526.5,1526.5,1526.37,,0.7191,3,JPXプライム150指数
161060012,FUT_JP150_260611,,202606,,1516.5,1516.5,1526.37,,1.2582,94,JPXプライム150指数
161090012,FUT_JP150_260910,,202609,,1520,1520,1526.37,,1.3609,185,JPXプライム150指数
161120012,FUT_JP150_261210,,202612,,1512,1511.9,1526.37,,1.3309,276,JPXプライム150指数
162030012,FUT_JP150_270311,,202703,,1514.5,1514.7,1526.37,,1.3309,367,JPXプライム150指数
161030063,FUT_C30_260312,,202603,,1862.5,1862.5,1862.34,,0.7191,3,TOPIX Core30
161060063,FUT_C30_260611,,202606,,1850,1850.2,1862.34,,1.2582,94,TOPIX Core30
161090063,FUT_C30_260910,,202609,,1856,1855.9,1862.34,,1.3609,185,TOPIX Core30
161030065,FUT_SJESG_260312,,202603,,4195.5,4195.4,4195.12,,0.7191,3,S&P/JPX 500ESGスコア・ティルト指数
161060065,FUT_SJESG_260611,,202606,,4168,4167.9,4195.12,,1.2582,94,S&P/JPX 500ESGスコア・ティルト指数
161090065,FUT_SJESG_260910,,202609,,4177.5,4177.5,4195.12,,1.3609,185,S&P/JPX 500ESGスコア・ティルト指数
161030066,FUT_FJNZR_260312,,202603,,2398.5,2398.5,2398.34,,0.7191,3,FTSE JPXネットゼロ・ジャパン500指数
161060066,FUT_FJNZR_260611,,202606,,2383,2382.8,2398.34,,1.2582,94,FTSE JPXネットゼロ・ジャパン500指数
161090066,FUT_FJNZR_260910,,202609,,2388.5,2388.3,2398.34,,1.3609,185,FTSE JPXネットゼロ・ジャパン500指数
161030067,FUT_NKC15_260312,,202603,,54200,54205,54201.57,,0.7191,3,日経平均気候変動指数
161060067,FUT_NKC15_260611,,202606,,54020,54019,54201.57,,1.2582,94,日経平均気候変動指数
161090067,FUT_NKC15_260910,,202609,,54140,54137,54201.57,,1.3609,185,日経平均気候変動指数
161030032,FUT_BANK_260312,,202603,,578.6,578.6,578.54,,0.7191,3,東証銀行
161060032,FUT_BANK_260611,,202606,,572.1,572.1,578.54,,1.2582,94,東証銀行
161090032,FUT_BANK_260910,,202609,,574.2,574.2,578.54,,1.3609,185,東証銀行
161030069,FUT_REIT_260312,,202603,,1956,1956,1955.88,,0.7191,3,東証REIT
161060069,FUT_REIT_260611,,202606,,1947,1947.2,1955.88,,1.2582,94,東証REIT
161090069,FUT_REIT_260910,,202609,,1926,1926,1955.88,,1.3609,185,東証REIT
161030073,FUT_DJIA_260319,,202603,,47713,,47740.8,,,13,NYダウ
161060073,FUT_DJIA_260618,,202606,,47900,,47740.8,,,101,NYダウ
161090073,FUT_DJIA_260918,,202609,,48341,,47740.8,,,198,NYダウ
161120073,FUT_DJIA_261218,,202612,,48925,,47740.8,,,286,NYダウ
161030076,FUT_RNP_260312,,202603,,1700,1700.1,1700,,0.7191,3,RNP
161060076,FUT_RNP_260611,,202606,,1689,1689,1700,,1.2582,94,RNP
161090076,FUT_RNP_260910,,202609,,1693,1692.9,1700,,1.3609,185,RNP
161120076,FUT_RNP_261210,,202612,,1684,1683.9,1700,,1.3309,276,RNP
162030076,FUT_RNP_270311,,202703,,1687,1687,1700,,1.3309,367,RNP
160120017,FUT_NKDV_260331,,202512,,804,,,,,22,日経平均配当
161120017,FUT_NKDV_270331,,202612,,895,,,,,387,日経平均配当
162120017,FUT_NKDV_280331,,202712,,955,,,,,755,日経平均配当
163120017,FUT_NKDV_290330,,202812,,980,,,,,1119,日経平均配当
164120017,FUT_NKDV_300329,,202912,,973.6,,,,,1483,日経平均配当
165120017,FUT_NKDV_310331,,203012,,847.6,,,,,1848,日経平均配当
166120017,FUT_NKDV_320331,,203112,,847.6,,,,,2214,日経平均配当
167120017,FUT_NKDV_330331,,203212,,847.6,,,,,2579,日経平均配当
168120017,FUT_NKDV_340331,,203312,,847.6,,,,,2946,日経平均配当
161030001,FUT_JBL_260313,,202603,,132.33,,,,,13,長期国債
161060001,FUT_JBL_260615,,202606,,131.83,,,,,104,長期国債
161090001,FUT_JBL_260914,,202609,,130.65,,,,,198,長期国債
161030007,FUT_JBLM_260312,,202603,,132.33,,,,,3,長期国債
161060007,FUT_JBLM_260612,,202606,,131.83,,,,,97,長期国債
161090007,FUT_JBLM_260911,,202609,,130.65,,,,,188,長期国債
161030004,FUT_JBM_260313,,202603,,105.87,,,,,13,中期国債
161060004,FUT_JBM_260615,,202606,,105.53,,,,,104,中期国債
161090004,FUT_JBM_260914,,202609,,105.17,,,,,198,中期国債
161030002,FUT_JBS_260313,,202603,,99.33,,,,,13,超長期国債
161060002,FUT_JBS_260615,,202606,,98.47,,,,,104,超長期国債
161090002,FUT_JBS_260914,,202609,,97.98,,,,,198,超長期国債
160120091,FUT_TOA3M_260317,,202512,,99.285,,,,,8,無担保コールO/N物レート
161030091,FUT_TOA3M_260616,,202603,,99.1875,,,,,99,無担保コールO/N物レート
161060091,FUT_TOA3M_260915,,202606,,99.0325,,,,,190,無担保コールO/N物レート
161090091,FUT_TOA3M_261215,,202609,,98.9025,,,,,281,無担保コールO/N物レート
161120091,FUT_TOA3M_270316,,202612,,98.7725,,,,,372,無担保コールO/N物レート
162030091,FUT_TOA3M_270615,,202703,,98.6825,,,,,463,無担保コールO/N物レート
162060091,FUT_TOA3M_270914,,202706,,98.58,,,,,554,無担保コールO/N物レート
162090091,FUT_TOA3M_271214,,202709,,98.495,,,,,645,無担保コールO/N物レート
162120091,FUT_TOA3M_280314,,202712,,98.4325,,,,,736,無担保コールO/N物レート
163030091,FUT_TOA3M_280620,,202803,,98.3825,,,,,834,無担保コールO/N物レート
163060091,FUT_TOA3M_280919,,202806,,98.3425,,,,,925,無担保コールO/N物レート
163090091,FUT_TOA3M_281219,,202809,,98.3025,,,,,1016,無担保コールO/N物レート
163120091,FUT_TOA3M_290319,,202812,,98.2675,,,,,1107,無担保コールO/N物レート
164030091,FUT_TOA3M_290619,,202903,,98.235,,,,,1198,無担保コールO/N物レート
