＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161060018,FUT_225_260611,,202606,,58800,58561,58475.9,,0.9443,56,日経225
161090018,FUT_225_260910,,202609,,58870,58714,58475.9,,1.3609,147,日経225
161120018,FUT_225_261210,,202612,,58730,58602,58475.9,,1.3309,238,日経225
162030018,FUT_225_270311,,202703,,58870,58707,58475.9,,1.3309,329,日経225
162060018,FUT_225_270610,,202706,,58730,58560,58475.9,,1.3309,420,日経225
162090018,FUT_225_270909,,202709,,58910,58672,58475.9,,1.3309,511,日経225
162120018,FUT_225_271209,,202712,,58820,58570,58475.9,,1.3309,602,日経225
163060018,FUT_225_280608,,202806,,58940,58532,58475.9,,1.3309,784,日経225
163120018,FUT_225_281207,,202812,,59120,58546,58475.9,,1.3309,966,日経225
164060018,FUT_225_290607,,202906,,59320,58511,58475.9,,1.3309,1148,日経225
164120018,FUT_225_291213,,202912,,59600,58544,58475.9,,1.3309,1337,日経225
165060018,FUT_225_300613,,203006,,59810,58513,58475.9,,1.3309,1519,日経225
165120018,FUT_225_301212,,203012,,60070,58534,58475.9,,1.3309,1701,日経225
166060018,FUT_225_310612,,203106,,60340,58508,58475.9,,1.3309,1883,日経225
166120018,FUT_225_311211,,203112,,60650,58532,58475.9,,1.3309,2065,日経225
167060018,FUT_225_320610,,203206,,60930,58509,58475.9,,1.3309,2247,日経225
167120018,FUT_225_321209,,203212,,61250,58537,58475.9,,1.3309,2429,日経225
168060018,FUT_225_330609,,203306,,61570,58518,58475.9,,1.3309,2611,日経225
168120018,FUT_225_331208,,203312,,61940,58549,58475.9,,1.3309,2793,日経225
161050019,FUT_225M_260507,,202605,,58735,58508,58475.9,,0.9443,21,日経225
161060019,FUT_225M_260611,,202606,,58800,58561,58475.9,,0.9443,56,日経225
161070019,FUT_225M_260709,,202607,,58660,58601,58475.9,,1.2711,84,日経225
161080019,FUT_225M_260813,,202608,,58925,58688,58475.9,,1.3609,119,日経225
161090019,FUT_225M_260910,,202609,,58870,58714,58475.9,,1.3609,147,日経225
161120019,FUT_225M_261210,,202612,,58730,58602,58475.9,,1.3309,238,日経225
162030019,FUT_225M_270311,,202703,,58870,58707,58475.9,,1.3309,329,日経225
162060019,FUT_225M_270610,,202706,,58730,58560,58475.9,,1.3309,420,日経225
162090019,FUT_225M_270909,,202709,,58910,58672,58475.9,,1.3309,511,日経225
162120019,FUT_225M_271209,,202712,,58820,58570,58475.9,,1.3309,602,日経225
163060019,FUT_225M_280608,,202806,,58940,58532,58475.9,,1.3309,784,日経225
163120019,FUT_225M_281207,,202812,,59120,58546,58475.9,,1.3309,966,日経225
164060019,FUT_225M_290607,,202906,,59320,58511,58475.9,,1.3309,1148,日経225
164120019,FUT_225M_291213,,202912,,59600,58544,58475.9,,1.3309,1337,日経225
165060019,FUT_225M_300613,,203006,,59810,58513,58475.9,,1.3309,1519,日経225
165120019,FUT_225M_301212,,203012,,60070,58534,58475.9,,1.3309,1701,日経225
161050023,FUT_225MC_260507,,202605,,58735,58508,58475.9,,0.9443,21,日経225
161060023,FUT_225MC_260611,,202606,,58800,58561,58475.9,,0.9443,56,日経225
161070023,FUT_225MC_260709,,202607,,58660,58601,58475.9,,1.2711,84,日経225
161090023,FUT_225MC_260910,,202609,,58870,58714,58475.9,,1.3609,147,日経225
161060005,FUT_TPX_260611,,202606,,3769.5,3766.1,3760.81,,0.9443,56,TOPIX
161090005,FUT_TPX_260910,,202609,,3776,3776.4,3760.81,,1.3609,147,TOPIX
