＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161060018,FUT_225_260611,,202606,,63130,62890,62833.84,,0.9052,36,日経225
161090018,FUT_225_260910,,202609,,63230,63043,62833.84,,1.3609,127,日経225
161120018,FUT_225_261210,,202612,,63080,62903,62833.84,,1.3309,218,日経225
162030018,FUT_225_270311,,202703,,63230,63015,62833.84,,1.3309,309,日経225
162060018,FUT_225_270610,,202706,,63110,62847,62833.84,,1.3309,400,日経225
162090018,FUT_225_270909,,202709,,63350,62967,62833.84,,1.3309,491,日経225
162120018,FUT_225_271209,,202712,,63240,62837,62833.84,,1.3309,582,日経225
163060018,FUT_225_280608,,202806,,63390,62785,62833.84,,1.3309,764,日経225
163120018,FUT_225_281207,,202812,,63620,62779,62833.84,,1.3309,946,日経225
164060018,FUT_225_290607,,202906,,63860,62731,62833.84,,1.3309,1128,日経225
164120018,FUT_225_291213,,202912,,64190,62745,62833.84,,1.3309,1317,日経225
165060018,FUT_225_300613,,203006,,64500,62701,62833.84,,1.3309,1499,日経225
165120018,FUT_225_301212,,203012,,64870,62703,62833.84,,1.3309,1681,日経225
166060018,FUT_225_310612,,203106,,65220,62663,62833.84,,1.3309,1863,日経225
166120018,FUT_225_311211,,203112,,65620,62669,62833.84,,1.3309,2045,日経225
167060018,FUT_225_320610,,203206,,65990,62633,62833.84,,1.3309,2227,日経225
167120018,FUT_225_321209,,203212,,66400,62643,62833.84,,1.3309,2409,日経225
168060018,FUT_225_330609,,203306,,66810,62611,62833.84,,1.3309,2591,日経225
168120018,FUT_225_331208,,203312,,67270,62624,62833.84,,1.3309,2773,日経225
161050019,FUT_225M_260507,,202605,,63185,62835,62833.84,,0.7186,1,日経225
161060019,FUT_225M_260611,,202606,,63130,62890,62833.84,,0.9052,36,日経225
161070019,FUT_225M_260709,,202607,,63120,62884,62833.84,,0.9052,64,日経225
161080019,FUT_225M_260813,,202608,,63235,62994,62833.84,,1.2418,99,日経225
161090019,FUT_225M_260910,,202609,,63230,63043,62833.84,,1.3609,127,日経225
161120019,FUT_225M_261210,,202612,,63080,62903,62833.84,,1.3309,218,日経225
162030019,FUT_225M_270311,,202703,,63230,63015,62833.84,,1.3309,309,日経225
162060019,FUT_225M_270610,,202706,,63110,62847,62833.84,,1.3309,400,日経225
162090019,FUT_225M_270909,,202709,,63350,62967,62833.84,,1.3309,491,日経225
162120019,FUT_225M_271209,,202712,,63240,62837,62833.84,,1.3309,582,日経225
163060019,FUT_225M_280608,,202806,,63390,62785,62833.84,,1.3309,764,日経225
163120019,FUT_225M_281207,,202812,,63620,62779,62833.84,,1.3309,946,日経225
164060019,FUT_225M_290607,,202906,,63860,62731,62833.84,,1.3309,1128,日経225
164120019,FUT_225M_291213,,202912,,64190,62745,62833.84,,1.3309,1317,日経225
165060019,FUT_225M_300613,,203006,,64500,62701,62833.84,,1.3309,1499,日経225
165120019,FUT_225M_301212,,203012,,64870,62703,62833.84,,1.3309,1681,日経225
161050023,FUT_225MC_260507,,202605,,63185,62835,62833.84,,0.7186,1,日経225
161060023,FUT_225MC_260611,,202606,,63130,62890,62833.84,,0.9052,36,日経225
161070023,FUT_225MC_260709,,202607,,63120,62884,62833.84,,0.9052,64,日経225
161090023,FUT_225MC_260910,,202609,,63230,63043,62833.84,,1.3609,127,日経225
161060005,FUT_TPX_260611,,202606,,3847,3843.8,3840.49,,0.9052,36,TOPIX
161090005,FUT_TPX_260910,,202609,,3852.5,3853.4,3840.49,,1.3609,127,TOPIX
161120005,FUT_TPX_261210,,202612,,3837,3833.6,3840.49,,1.3309,218,TOPIX
162030005,FUT_TPX_270311,,202703,,3844,3840.6,3840.49,,1.3309,309,TOPIX
162060005,FUT_TPX_270610,,202706,,3820,3816.8,3840.49,,1.3309,400,TOPIX
162090005,FUT_TPX_270909,,202709,,3827.5,3824.4,3840.49,,1.3309,491,TOPIX
162120005,FUT_TPX_271209,,202712,,3808.5,3805.4,3840.49,,1.3309,582,TOPIX
163060005,FUT_TPX_280608,,202806,,3792.5,3789.1,3840.49,,1.3309,764,TOPIX
163120005,FUT_TPX_281207,,202812,,3781.5,3778.2,3840.49,,1.3309,946,TOPIX
164060005,FUT_TPX_290607,,202906,,3765.5,3762.3,3840.49,,1.3309,1128,TOPIX
164120005,FUT_TPX_291213,,202912,,3756,3752.7,3840.49,,1.3309,1317,TOPIX
165060005,FUT_TPX_300613,,203006,,3740.5,3737.3,3840.49,,1.3309,1499,TOPIX
165120005,FUT_TPX_301212,,203012,,3730.5,3727.2,3840.49,,1.3309,1681,TOPIX
161060006,FUT_TPXM_260611,,202606,,3847,3843.77,3840.49,,0.9052,36,TOPIX
161090006,FUT_TPXM_260910,,202609,,3852.5,3853.41,3840.49,,1.3609,127,TOPIX
161120006,FUT_TPXM_261210,,202612,,3837,3833.63,3840.49,,1.3309,218,TOPIX
161060022,FUT_400_260611,,202606,,35220,35091,35060.73,,0.9052,36,JPX日経400
161090022,FUT_400_260910,,202609,,35305,35174,35060.73,,1.3609,127,JPX日経400
161120022,FUT_400_261210,,202612,,35130,35000,35060.73,,1.3309,218,JPX日経400
162030022,FUT_400_270311,,202703,,35185,35059,35060.73,,1.3309,309,JPX日経400
162060022,FUT_400_270610,,202706,,34995,34866,35060.73,,1.3309,400,JPX日経400
161060012,FUT_JP150_260611,,202606,,1611.5,1611.4,1609.99,,0.9052,36,JPXプライム150指数
161090012,FUT_JP150_260910,,202609,,1615.5,1615.4,1609.99,,1.3609,127,JPXプライム150指数
161120012,FUT_JP150_261210,,202612,,1607,1607.1,1609.99,,1.3309,218,JPXプライム150指数
162030012,FUT_JP150_270311,,202703,,1610,1610,1609.99,,1.3309,309,JPXプライム150指数
162060012,FUT_JP150_270610,,202706,,1600,1600.1,1609.99,,1.3309,400,JPXプライム150指数
161060063,FUT_C30_260611,,202606,,1975.5,1975.6,1973.83,,0.9052,36,TOPIX Core30
161090063,FUT_C30_260910,,202609,,1982,1982,1973.83,,1.3609,127,TOPIX Core30
161120063,FUT_C30_261210,,202612,,1971.5,1971.3,1973.83,,1.3309,218,TOPIX Core30
161060065,FUT_SJESG_260611,,202606,,4423.5,4423.4,4419.58,,0.9052,36,S&P/JPX 500ESGスコア・ティルト指数
161090065,FUT_SJESG_260910,,202609,,4434.5,4434.4,4419.58,,1.3609,127,S&P/JPX 500ESGスコア・ティルト指数
161120065,FUT_SJESG_261210,,202612,,4411.5,4411.7,4419.58,,1.3309,218,S&P/JPX 500ESGスコア・ティルト指数
161060066,FUT_FJNZR_260611,,202606,,2485,2485,2482.91,,0.9052,36,FTSE JPXネットゼロ・ジャパン500指数
161090066,FUT_FJNZR_260910,,202609,,2491.5,2491.3,2482.91,,1.3609,127,FTSE JPXネットゼロ・ジャパン500指数
