＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161030018,FUT_225_260312,,202603,,54430,54454,54452.96,,0.7191,1,日経225
161060018,FUT_225_260611,,202606,,54220,54282,54452.96,,1.2664,92,日経225
161090018,FUT_225_260910,,202609,,54310,54402,54452.96,,1.3609,183,日経225
161120018,FUT_225_261210,,202612,,54160,54274,54452.96,,1.3309,274,日経225
162030018,FUT_225_270311,,202703,,54270,54369,54452.96,,1.3309,365,日経225
162060018,FUT_225_270610,,202706,,54110,54209,54452.96,,1.3309,456,日経225
162120018,FUT_225_271209,,202712,,54150,54196,54452.96,,1.3309,638,日経225
163060018,FUT_225_280608,,202806,,54160,54135,54452.96,,1.3309,820,日経225
163120018,FUT_225_281207,,202812,,54290,54125,54452.96,,1.3309,1002,日経225
164060018,FUT_225_290607,,202906,,54340,54069,54452.96,,1.3309,1184,日経225
164120018,FUT_225_291213,,202912,,54520,54076,54452.96,,1.3309,1373,日経225
165060018,FUT_225_300613,,203006,,54630,54024,54452.96,,1.3309,1555,日経225
165120018,FUT_225_301212,,203012,,54850,54021,54452.96,,1.3309,1737,日経225
166060018,FUT_225_310612,,203106,,55010,53973,54452.96,,1.3309,1919,日経225
166120018,FUT_225_311211,,203112,,55270,53974,54452.96,,1.3309,2101,日経225
167060018,FUT_225_320610,,203206,,55420,53930,54452.96,,1.3309,2283,日経225
167120018,FUT_225_321209,,203212,,55680,53934,54452.96,,1.3309,2465,日経225
168060018,FUT_225_330609,,203306,,55870,53894,54452.96,,1.3309,2647,日経225
168120018,FUT_225_331208,,203312,,56160,53902,54452.96,,1.3309,2829,日経225
161030019,FUT_225M_260312,,202603,,54430,54454,54452.96,,0.7191,1,日経225
161040019,FUT_225M_260409,,202604,,54115,54151,54452.96,,0.9773,29,日経225
161050019,FUT_225M_260507,,202605,,54070,54192,54452.96,,0.9773,57,日経225
161060019,FUT_225M_260611,,202606,,54220,54282,54452.96,,1.2664,92,日経225
161070019,FUT_225M_260709,,202607,,54280,54306,54452.96,,1.3609,120,日経225
161090019,FUT_225M_260910,,202609,,54310,54402,54452.96,,1.3609,183,日経225
161120019,FUT_225M_261210,,202612,,54160,54274,54452.96,,1.3309,274,日経225
162030019,FUT_225M_270311,,202703,,54270,54369,54452.96,,1.3309,365,日経225
162060019,FUT_225M_270610,,202706,,54110,54209,54452.96,,1.3309,456,日経225
162120019,FUT_225M_271209,,202712,,54150,54196,54452.96,,1.3309,638,日経225
163060019,FUT_225M_280608,,202806,,54160,54135,54452.96,,1.3309,820,日経225
163120019,FUT_225M_281207,,202812,,54290,54125,54452.96,,1.3309,1002,日経225
164060019,FUT_225M_290607,,202906,,54340,54069,54452.96,,1.3309,1184,日経225
164120019,FUT_225M_291213,,202912,,54520,54076,54452.96,,1.3309,1373,日経225
165060019,FUT_225M_300613,,203006,,54630,54024,54452.96,,1.3309,1555,日経225
165120019,FUT_225M_301212,,203012,,54850,54021,54452.96,,1.3309,1737,日経225
161030023,FUT_225MC_260312,,202603,,54430,54454,54452.96,,0.7191,1,日経225
161040023,FUT_225MC_260409,,202604,,54115,54151,54452.96,,0.9773,29,日経225
161050023,FUT_225MC_260507,,202605,,54070,54192,54452.96,,0.9773,57,日経225
161060023,FUT_225MC_260611,,202606,,54220,54282,54452.96,,1.2664,92,日経225
161030005,FUT_TPX_260312,,202603,,3648,3649.9,3649.85,,0.7191,1,TOPIX
161060005,FUT_TPX_260611,,202606,,3618,3627.2,3649.85,,1.2664,92,TOPIX
161090005,FUT_TPX_260910,,202609,,3633.5,3635.6,3649.85,,1.3609,183,TOPIX
161120005,FUT_TPX_261210,,202612,,3615.5,3617.4,3649.85,,1.3309,274,TOPIX
162030005,FUT_TPX_270311,,202703,,3622,3624.1,3649.85,,1.3309,365,TOPIX
162060005,FUT_TPX_270610,,202706,,3600.5,3602.4,3649.85,,1.3309,456,TOPIX
162120005,FUT_TPX_271209,,202712,,3590.5,3592.5,3649.85,,1.3309,638,TOPIX
163060005,FUT_TPX_280608,,202806,,3576,3577.9,3649.85,,1.3309,820,TOPIX
163120005,FUT_TPX_281207,,202812,,3566.5,3568.4,3649.85,,1.3309,1002,TOPIX
164060005,FUT_TPX_290607,,202906,,3552.5,3554.3,3649.85,,1.3309,1184,TOPIX
164120005,FUT_TPX_291213,,202912,,3544,3546,3649.85,,1.3309,1373,TOPIX
165060005,FUT_TPX_300613,,203006,,3530.5,3532.4,3649.85,,1.3309,1555,TOPIX
