＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161060018,FUT_225_260611,,202606,,59530,59351,59284.92,,0.9419,43,日経225
161090018,FUT_225_260910,,202609,,59610,59498,59284.92,,1.3609,134,日経225
161120018,FUT_225_261210,,202612,,59460,59384,59284.92,,1.3309,225,日経225
162030018,FUT_225_270311,,202703,,59590,59491,59284.92,,1.3309,316,日経225
162060018,FUT_225_270610,,202706,,59460,59340,59284.92,,1.3309,407,日経225
162090018,FUT_225_270909,,202709,,59650,59454,59284.92,,1.3309,498,日経225
162120018,FUT_225_271209,,202712,,59570,59350,59284.92,,1.3309,589,日経225
163060018,FUT_225_280608,,202806,,59710,59309,59284.92,,1.3309,771,日経225
163120018,FUT_225_281207,,202812,,59910,59323,59284.92,,1.3309,953,日経225
164060018,FUT_225_290607,,202906,,60130,59286,59284.92,,1.3309,1135,日経225
164120018,FUT_225_291213,,202912,,60440,59318,59284.92,,1.3309,1324,日経225
165060018,FUT_225_300613,,203006,,60730,59286,59284.92,,1.3309,1506,日経225
165120018,FUT_225_301212,,203012,,61070,59307,59284.92,,1.3309,1688,日経225
166060018,FUT_225_310612,,203106,,61400,59278,59284.92,,1.3309,1870,日経225
166120018,FUT_225_311211,,203112,,61770,59302,59284.92,,1.3309,2052,日経225
167060018,FUT_225_320610,,203206,,62100,59278,59284.92,,1.3309,2234,日経225
167120018,FUT_225_321209,,203212,,62480,59305,59284.92,,1.3309,2416,日経225
168060018,FUT_225_330609,,203306,,62860,59285,59284.92,,1.3309,2598,日経225
168120018,FUT_225_331208,,203312,,63280,59316,59284.92,,1.3309,2780,日経225
161050019,FUT_225M_260507,,202605,,59580,59294,59284.92,,0.7318,8,日経225
161060019,FUT_225M_260611,,202606,,59530,59351,59284.92,,0.9419,43,日経225
161070019,FUT_225M_260709,,202607,,59520,59347,59284.92,,0.9419,71,日経225
161080019,FUT_225M_260813,,202608,,59650,59471,59284.92,,1.3609,106,日経225
161090019,FUT_225M_260910,,202609,,59610,59498,59284.92,,1.3609,134,日経225
161120019,FUT_225M_261210,,202612,,59460,59384,59284.92,,1.3309,225,日経225
162030019,FUT_225M_270311,,202703,,59590,59491,59284.92,,1.3309,316,日経225
162060019,FUT_225M_270610,,202706,,59460,59340,59284.92,,1.3309,407,日経225
162090019,FUT_225M_270909,,202709,,59650,59454,59284.92,,1.3309,498,日経225
162120019,FUT_225M_271209,,202712,,59570,59350,59284.92,,1.3309,589,日経225
163060019,FUT_225M_280608,,202806,,59710,59309,59284.92,,1.3309,771,日経225
163120019,FUT_225M_281207,,202812,,59910,59323,59284.92,,1.3309,953,日経225
164060019,FUT_225M_290607,,202906,,60130,59286,59284.92,,1.3309,1135,日経225
164120019,FUT_225M_291213,,202912,,60440,59318,59284.92,,1.3309,1324,日経225
165060019,FUT_225M_300613,,203006,,60730,59286,59284.92,,1.3309,1506,日経225
165120019,FUT_225M_301212,,203012,,61070,59307,59284.92,,1.3309,1688,日経225
161050023,FUT_225MC_260507,,202605,,59580,59294,59284.92,,0.7318,8,日経225
161060023,FUT_225MC_260611,,202606,,59530,59351,59284.92,,0.9419,43,日経225
161070023,FUT_225MC_260709,,202607,,59520,59347,59284.92,,0.9419,71,日経225
161090023,FUT_225MC_260910,,202609,,59610,59498,59284.92,,1.3609,134,日経225
161060005,FUT_TPX_260611,,202606,,3744,3731.2,3727.21,,0.9419,43,TOPIX
161090005,FUT_TPX_260910,,202609,,3749.5,3740.8,3727.21,,1.3609,134,TOPIX
161120005,FUT_TPX_261210,,202612,,3735.5,3722.6,3727.21,,1.3309,225,TOPIX
162030005,FUT_TPX_270311,,202703,,3742,3729.4,3727.21,,1.3309,316,TOPIX
162060005,FUT_TPX_270610,,202706,,3719.5,3707,3727.21,,1.3309,407,TOPIX
162090005,FUT_TPX_270909,,202709,,3727,3714.4,3727.21,,1.3309,498,TOPIX
162120005,FUT_TPX_271209,,202712,,3709.5,3697,3727.21,,1.3309,589,TOPIX
163060005,FUT_TPX_280608,,202806,,3694.5,3681.9,3727.21,,1.3309,771,TOPIX
163120005,FUT_TPX_281207,,202812,,3685,3672.4,3727.21,,1.3309,953,TOPIX
164060005,FUT_TPX_290607,,202906,,3670.5,3657.7,3727.21,,1.3309,1135,TOPIX
164120005,FUT_TPX_291213,,202912,,3662,3649.5,3727.21,,1.3309,1324,TOPIX
165060005,FUT_TPX_300613,,203006,,3648,3635.3,3727.21,,1.3309,1506,TOPIX
165120005,FUT_TPX_301212,,203012,,3639,3626.5,3727.21,,1.3309,1688,TOPIX
161060006,FUT_TPXM_260611,,202606,,3744,3731.21,3727.21,,0.9419,43,TOPIX
161090006,FUT_TPXM_260910,,202609,,3749.5,3740.78,3727.21,,1.3609,134,TOPIX
161120006,FUT_TPXM_261210,,202612,,3735.5,3722.58,3727.21,,1.3309,225,TOPIX
161060022,FUT_400_260611,,202606,,34180,34013,33975.6,,0.9419,43,JPX日経400
161090022,FUT_400_260910,,202609,,34265,34095,33975.6,,1.3609,134,JPX日経400
161120022,FUT_400_261210,,202612,,34105,33935,33975.6,,1.3309,225,JPX日経400
162030022,FUT_400_270311,,202703,,34160,33993,33975.6,,1.3309,316,JPX日経400
162060022,FUT_400_270610,,202706,,33975,33811,33975.6,,1.3309,407,JPX日経400
161060012,FUT_JP150_260611,,202606,,1564,1564.1,1562.42,,0.9419,43,JPXプライム150指数
161090012,FUT_JP150_260910,,202609,,1568,1568.1,1562.42,,1.3609,134,JPXプライム150指数
161120012,FUT_JP150_261210,,202612,,1560.5,1560.5,1562.42,,1.3309,225,JPXプライム150指数
162030012,FUT_JP150_270311,,202703,,1563.5,1563.4,1562.42,,1.3309,316,JPXプライム150指数
162060012,FUT_JP150_270610,,202706,,1554,1553.9,1562.42,,1.3309,407,JPXプライム150指数
161060063,FUT_C30_260611,,202606,,1914.5,1914.3,1912.2,,0.9419,43,TOPIX Core30
161090063,FUT_C30_260910,,202609,,1920.5,1920.7,1912.2,,1.3609,134,TOPIX Core30
161120063,FUT_C30_261210,,202612,,1910.5,1910.6,1912.2,,1.3309,225,TOPIX Core30
161060065,FUT_SJESG_260611,,202606,,4288.5,4288.4,4283.76,,0.9419,43,S&P/JPX 500ESGスコア・ティルト指数
161090065,FUT_SJESG_260910,,202609,,4299.5,4299.4,4283.76,,1.3609,134,S&P/JPX 500ESGスコア・ティルト指数
161120065,FUT_SJESG_261210,,202612,,4278.5,4278.4,4283.76,,1.3309,225,S&P/JPX 500ESGスコア・ティルト指数
161060066,FUT_FJNZR_260611,,202606,,2403,2403.1,2400.49,,0.9419,43,FTSE JPXネットゼロ・ジャパン500指数
161090066,FUT_FJNZR_260910,,202609,,2409,2409.2,2400.49,,1.3609,134,FTSE JPXネットゼロ・ジャパン500指数
161120066,FUT_FJNZR_261210,,202612,,2397.5,2397.5,2400.49,,1.3309,225,FTSE JPXネットゼロ・ジャパン500指数
161060067,FUT_NKC15_260611,,202606,,58930,58932,58867.08,,0.9419,43,日経平均気候変動指数
161090067,FUT_NKC15_260910,,202609,,59080,59079,58867.08,,1.3609,134,日経平均気候変動指数
161120067,FUT_NKC15_261210,,202612,,58970,58966,58867.08,,1.3309,225,日経平均気候変動指数
161060032,FUT_BANK_260611,,202606,,598.4,598.4,597.73,,0.9419,43,東証銀行
161090032,FUT_BANK_260910,,202609,,600.7,600.7,597.73,,1.3609,134,東証銀行
161120032,FUT_BANK_261210,,202612,,596,596,597.73,,1.3309,225,東証銀行
161060069,FUT_REIT_260611,,202606,,1876.5,1876.3,1880.28,,0.9419,43,東証REIT
161090069,FUT_REIT_260910,,202609,,1854.5,1854.7,1880.28,,1.3609,134,東証REIT
161120069,FUT_REIT_261210,,202612,,1847,1846.8,1880.28,,1.3309,225,東証REIT
161060073,FUT_DJIA_260618,,202606,,48718,,48861.81,,,50,NYダウ
161090073,FUT_DJIA_260918,,202609,,49573,,48861.81,,,147,NYダウ
161120073,FUT_DJIA_261218,,202612,,49479,,48861.81,,,235,NYダウ
162030073,FUT_DJIA_270319,,202703,,49832,,48861.81,,,327,NYダウ
161060076,FUT_RNP_260611,,202606,,1702,1701.8,1700,,0.9419,43,RNP
161090076,FUT_RNP_260910,,202609,,1706,1706.2,1700,,1.3609,134,RNP
161120076,FUT_RNP_261210,,202612,,1698,1697.9,1700,,1.3309,225,RNP
162030076,FUT_RNP_270311,,202703,,1701,1701,1700,,1.3309,316,RNP
162060076,FUT_RNP_270610,,202706,,1691,1690.8,1700,,1.3309,407,RNP
161120017,FUT_NKDV_270331,,202612,,915,,,,,336,日経平均配当
162120017,FUT_NKDV_280331,,202712,,1015,,,,,704,日経平均配当
163120017,FUT_NKDV_290330,,202812,,1055,,,,,1068,日経平均配当
164120017,FUT_NKDV_300329,,202912,,1070,,,,,1432,日経平均配当
165120017,FUT_NKDV_310331,,203012,,937.6,,,,,1797,日経平均配当
166120017,FUT_NKDV_320331,,203112,,937.6,,,,,2163,日経平均配当
167120017,FUT_NKDV_330331,,203212,,937.6,,,,,2528,日経平均配当
168120017,FUT_NKDV_340331,,203312,,937.6,,,,,2895,日経平均配当
161060001,FUT_JBL_260615,,202606,,129.26,,,,,53,長期国債
161090001,FUT_JBL_260914,,202609,,128.05,,,,,147,長期国債
161120001,FUT_JBL_261214,,202612,,127.54,,,,,235,長期国債
161060007,FUT_JBLM_260612,,202606,,129.26,,,,,46,長期国債
161090007,FUT_JBLM_260911,,202609,,128.05,,,,,137,長期国債
161120007,FUT_JBLM_261211,,202612,,127.54,,,,,228,長期国債
161060004,FUT_JBM_260615,,202606,,104.84,,,,,53,中期国債
161090004,FUT_JBM_260914,,202609,,104.41,,,,,147,中期国債
161120004,FUT_JBM_261214,,202612,,103.96,,,,,235,中期国債
161060002,FUT_JBS_260615,,202606,,94.4,,,,,53,超長期国債
161090002,FUT_JBS_260914,,202609,,93.71,,,,,147,超長期国債
161120002,FUT_JBS_261214,,202612,,93.18,,,,,235,超長期国債
161030091,FUT_TOA3M_260616,,202603,,99.2725,,,,,48,無担保コールO/N物レート
161060091,FUT_TOA3M_260915,,202606,,99.07,,,,,139,無担保コールO/N物レート
161090091,FUT_TOA3M_261215,,202609,,98.92,,,,,230,無担保コールO/N物レート
161120091,FUT_TOA3M_270316,,202612,,98.7775,,,,,321,無担保コールO/N物レート
162030091,FUT_TOA3M_270615,,202703,,98.6225,,,,,412,無担保コールO/N物レート
162060091,FUT_TOA3M_270914,,202706,,98.4425,,,,,503,無担保コールO/N物レート
162090091,FUT_TOA3M_271214,,202709,,98.28,,,,,594,無担保コールO/N物レート
162120091,FUT_TOA3M_280314,,202712,,98.1875,,,,,685,無担保コールO/N物レート
163030091,FUT_TOA3M_280620,,202803,,98.1075,,,,,783,無担保コールO/N物レート
163060091,FUT_TOA3M_280919,,202806,,98.045,,,,,874,無担保コールO/N物レート
163090091,FUT_TOA3M_281219,,202809,,97.9875,,,,,965,無担保コールO/N物レート
163120091,FUT_TOA3M_290319,,202812,,97.9375,,,,,1056,無担保コールO/N物レート
164030091,FUT_TOA3M_290619,,202903,,97.8925,,,,,1147,無担保コールO/N物レート
164060091,FUT_TOA3M_290918,,202906,,97.8525,,,,,1238,無担保コールO/N物レート
164090091,FUT_TOA3M_291218,,202909,,97.8125,,,,,1329,無担保コールO/N物レート
164120091,FUT_TOA3M_300319,,202912,,97.775,,,,,1421,無担保コールO/N物レート
165030091,FUT_TOA3M_300618,,203003,,97.7375,,,,,1511,無担保コールO/N物レート
165060091,FUT_TOA3M_300917,,203006,,97.7,,,,,1602,無担保コールO/N物レート
165090091,FUT_TOA3M_301217,,203009,,97.665,,,,,1693,無担保コールO/N物レート
165120091,FUT_TOA3M_310318,,203012,,97.63,,,,,1784,無担保コールO/N物レート
161060011,FUT_MOTH_260611,,202606,,767,767,766.65,,0.9419,43,東証グロース市場250指数
161090011,FUT_MOTH_260910,,202609,,769,769,766.65,,1.3609,134,東証グロース市場250指数
161120011,FUT_MOTH_261210,,202612,,771,771,766.65,,1.3309,225,東証グロース市場250指数
162030011,FUT_MOTH_270311,,202703,,772,772,766.65,,1.3309,316,東証グロース市場250指数
162060011,FUT_MOTH_270610,,202706,,773,773,766.65,,1.3309,407,東証グロース市場250指数
161050078,FUT_TAIX_260519,,202605,,39360,,38926.63,,,20,台湾加権
161060078,FUT_TAIX_260616,,202606,,39453,,38926.63,,,48,台湾加権
161090078,FUT_TAIX_260915,,202609,,39517,,38926.63,,,139,台湾加権
161120078,FUT_TAIX_261215,,202612,,39849,,38926.63,,,230,台湾加権
162030078,FUT_TAIX_270316,,202703,,40218,,38926.63,,,321,台湾加権
161050079,FUT_FT50_260528,,202605,,16885,,16659.98,,,29,FTSE中国50
161060079,FUT_FT50_260629,,202606,,16815,,16659.98,,,61,FTSE中国50
161090079,FUT_FT50_260929,,202609,,16775,,16659.98,,,153,FTSE中国50
161120079,FUT_FT50_261230,,202612,,16830,,16659.98,,,249,FTSE中国50
